"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
2;",,,,,,,,,,,";"buzzardLabel";12;"";;;
3;"REF**";"Logo-Front-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
4;"D2";"0402LED";1;"purple";;;
5;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
6;"R3";"0603R";1;"1k";;;
7;"K2";"TERMINAL_KF235-5.0-3P";1;"TERMINAL_KF235-5.0-3P";;;
8;"D3,D1";"M4_DIODA";2;"M4_DIODA";;;
9;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
10;"C1";"0603C";1;"2.2uF";;;
11;"R1";"0603R";1;"4.7k";;;
12;"U1";"SOICâˆ’8";1;"NCV7329";;;
13;"C2";"0603C";1;"270pF";;;
14;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
15;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
16;"R2";"0402R";1;"2k2";;;
17;"K1";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
18;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
